racedate,tvgtrackcode,race,bettinginterestnumber,horsename,morninglineodds,currentodds,winpayout
2020-06-18,bel,2,5,invest,8/5,3/5,3.3
2020-06-18,bel,3,6,make mischief,2,1,4.1
2020-06-18,bel,4,8,mills,7/2,7/2,9
2020-06-18,bel,5,9,shiraz,2,9/5,5.6
2020-06-18,bel,6,3,quid,9/2,5,12.6
2020-06-18,bel,7,1,its all relevant,9/5,7/5,4.8
2020-06-18,bel,8,4,barrel of destiny,6,5,13.8
2020-06-18,bel,9,2,ratajkowski,1,6/5,4.7
2020-06-18,bel,10,6,abby normal,5/2,8/5,5.3
2020-06-19,bel,1,6,market alert,6,5,12.2
2020-06-19,bel,2,4,coilean bawn,3,5/2,7.2
2020-06-19,bel,3,10,our honor,12,18,38.8
2020-06-19,bel,4,5,creative style,4,4,10
2020-06-19,bel,5,7,miss you blues,5/2,2,6.3
2020-06-19,bel,6,4,archumybaby,8,7,16.8
2020-06-19,bel,7,1,fetching,10,7,16
2020-06-19,bel,8,9,the caretaker,4,2,6.5
2020-06-19,bel,9,2,jack and noah (fr),3,2,6.1
2020-06-19,bel,10,11,roziere,3,7/2,9.8
2020-06-05,bel,5,4,idle time,3,4,10.4
2020-06-05,bel,6,5,tribecca,4,6,15
2020-06-05,bel,7,11,the important one,10,6,15.6
2020-06-05,bel,8,6,lost ticket,8,20,42
2020-06-05,bel,9,3,honey i'm good,8,5,12.8
2020-06-05,bel,10,9,uncle george,8,5,12.2
2020-06-05,bel,1,3,walkoff,4,8/5,5.4
2020-06-05,bel,2,7,tiltingatwindmills,3/5,1/5,2.7
2020-06-05,bel,3,10,powerful venezuela,12,21,44.8
2020-06-05,bel,4,13,copper chalice,50,70,151
2020-06-21,bel,6,2,lovely lucky,9/2,5,13.4
2020-06-21,bel,7,8,wedontbelieveher,2,5/2,7.6
2020-06-21,bel,8,1,bredenbury (ire),6,9,20
2020-06-21,bel,9,11,zipalong,9/2,8,19.8
2020-06-21,bel,3,5,civil union,2,2,6
2020-06-21,bel,4,7,bebe banker,4/5,2/5,2.9
2020-06-21,bel,5,4,mad munnys,12,23,48
2020-06-21,bel,1,8,noble jewel,3,3,8.4
2020-06-21,bel,2,3,roderick,9/5,2/5,2.8
2020-06-07,bel,1,10,tequila sunday,9/2,4,10.2
2020-06-07,bel,2,1,domestic spending (gb),3,3/2,5
2020-06-07,bel,3,5,malibu mischief,10,5/2,7
2020-06-07,bel,4,2,pandamom,5,3,8.5
2020-06-07,bel,5,9,dancers for token,5/2,2,6.2
2020-06-07,bel,6,4,jen's battle,7/2,1,4.3
2020-06-07,bel,7,8,graded on a curve,5/2,9/5,5.9
2020-06-07,bel,8,2,won and done,9/2,9/2,11.4
