"RCDate","RCTrack","DateHeading","Ordinal","JTCode","Trainer","Starts","Wins","Places","Shows","AvgWinPayoff"
05/02/2020,"GP","",109.00,"T","SANO ANTONIO",44.00,6.00,5.00,7.00,39.47
05/02/2020,"GP","",110.00,"J","Zayas E J",8.00,0.00,2.00,1.00,0.00
05/02/2020,"GP","",111.00,"J","Torres C A*",0.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",112.00,"T","D'ANGELO FRANCISCO",2.00,1.00,0.00,0.00,7.60
05/02/2020,"GP","",113.00,"J","Zayas E J",2.00,1.00,0.00,0.00,7.60
05/02/2020,"GP","",114.00,"T","BIANCONE PATRICK L",8.00,1.00,0.00,2.00,18.60
05/02/2020,"GP","",115.00,"J","Bravo J",2.00,0.00,0.00,1.00,0.00
05/02/2020,"GP","",116.00,"T","MCGOEY MONICA",11.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",117.00,"J","Vasquez M A",0.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",118.00,"T","DOBLES ELIZABETH L",15.00,1.00,1.00,3.00,16.80
05/02/2020,"GP","",119.00,"J","Saez L",0.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",120.00,"J","Zayas E J",2.00,0.00,0.00,1.00,0.00
05/02/2020,"GP","",121.00,"T","HILLS TIMOTHY A",12.00,0.00,1.00,1.00,0.00
05/02/2020,"GP","",122.00,"J","Rodriguez A A",7.00,0.00,1.00,1.00,0.00
05/02/2020,"GP","",123.00,"T","JOSEPH SAFFIE A JR",40.00,7.00,8.00,4.00,6.03
05/02/2020,"GP","",124.00,"J","Lebron V",6.00,1.00,0.00,0.00,6.20
05/02/2020,"GP","",125.00,"J","Lopez P",0.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",126.00,"J","Jaramillo E",6.00,0.00,1.00,1.00,0.00
05/02/2020,"GP","",127.00,"J","Gaffalione T",12.00,4.00,4.00,1.00,6.70
05/02/2020,"GP","",128.00,"J","Ortiz I Jr",1.00,0.00,1.00,0.00,0.00
05/02/2020,"GP","",129.00,"T","WEAVER GEORGE",8.00,2.00,3.00,2.00,17.40
05/02/2020,"GP","",130.00,"J","Zayas E J",2.00,1.00,1.00,0.00,30.60
05/02/2020,"GP","",131.00,"T","POMPAY TERRI",18.00,3.00,2.00,1.00,9.27
05/02/2020,"GP","",132.00,"J","Reyes L",2.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",133.00,"T","MATIER SANDRA",14.00,0.00,2.00,1.00,0.00
05/02/2020,"GP","",134.00,"J","Fuentes M*",2.00,0.00,1.00,0.00,0.00
05/02/2020,"GP","",135.00,"T","COLEBROOK BEN",4.00,0.00,0.00,1.00,0.00
05/02/2020,"GP","",136.00,"J","Juarez N",1.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",137.00,"T","BATES LARRY",5.00,0.00,1.00,0.00,0.00
05/02/2020,"GP","",138.00,"J","Vasquez M A",0.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",139.00,"T","MARCONDES PATRICK K",2.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",140.00,"J","Meneses M",0.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",141.00,"T","DEATON WILLIAM",1.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",142.00,"J","Fuentes M*",0.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",143.00,"T","MC ALLEN JOHN P",5.00,0.00,0.00,1.00,0.00
05/02/2020,"GP","",144.00,"J","Gonzalez S",2.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",145.00,"T","WILKES IAN R",26.00,4.00,1.00,4.00,27.00
05/02/2020,"GP","",146.00,"J","Landeros C",18.00,4.00,1.00,2.00,27.00
05/02/2020,"GP","",147.00,"T","WALDER PETER R",12.00,3.00,2.00,1.00,14.93
05/02/2020,"GP","",148.00,"J","Lopez P",0.00,0.00,0.00,0.00,0.00
05/02/2020,"GP","",149.00,"T","ARIAS JUAN D",5.00,1.00,0.00,0.00,5.00
05/02/2020,"GP","",150.00,"J","Vasquez M A",1.00,1.00,0.00,0.00,5.00
05/02/2020,"GP","",151.00,"T","MEJIA JAIME",9.00,3.00,0.00,0.00,21.20
05/02/2020,"GP","",152.00,"J","Reyes L",4.00,2.00,0.00,0.00,19.40
05/02/2020,"GP","",153.00,"T","GARGAN DANNY",7.00,2.00,3.00,0.00,4.90
05/02/2020,"GP","",154.00,"J","Jaramillo E",1.00,0.00,1.00,0.00,0.00
